au13,year,lma,lma_stability,sub_lma,sub_lma_stability
542561,2001,12,1,3,1
542562,2001,12,1,3,1
542600,2001,12,1,4,1
542700,2001,11,1,3,1
542800,2001,12,1,6,1
542901,2001,12,1,6,1
542903,2001,12,1,6,1
542904,2001,12,1,6,1
542906,2001,12,1,6,1
543301,2001,13,1,1,1
543302,2001,13,1,1,1
543303,2001,13,1,1,1
543601,2001,13,1,2,1
543602,2001,13,1,2,1
543800,2001,13,1,3,1
543901,2001,13,1,4,1
543902,2001,13,1,5,0.548
543903,2001,13,1,4,1
544001,2001,13,1,6,1
544002,2001,13,1,3,1
544003,2001,13,1,3,1
544004,2001,13,1,6,1
544200,2001,13,1,4,1
544300,2001,13,1,4,1
544400,2001,13,1,4,1
544500,2001,13,1,4,1
544600,2001,13,1,4,1
544701,2001,13,1,4,1
544702,2001,13,1,4,1
544801,2001,13,1,4,1
544802,2001,13,1,4,1
544900,2001,13,1,4,1
545201,2001,13,1,7,1
545202,2001,13,1,7,1
545204,2001,13,1,7,1
545205,2001,13,1,7,1
545301,2001,13,1,7,1
545302,2001,13,1,7,1
545303,2001,13,1,7,1
545304,2001,13,1,7,1
545500,2001,13,1,7,1
545611,2001,14,1,1,1
545621,2001,14,1,1,1
545631,2001,14,1,1,1
545632,2001,14,1,1,1
545710,2001,14,1,2,1
545721,2001,14,1,2,1
545722,2001,14,1,2,1
545730,2001,14,1,3,1
545740,2001,14,1,3,1
545750,2001,14,1,2,1
545761,2001,14,1,2,1
545762,2001,14,1,2,1
545811,2001,14,1,4,0.456
545812,2001,14,1,1,1
545821,2001,14,1,5,0.284
545822,2001,14,1,6,0.436
545831,2001,14,1,7,0.28
545832,2001,14,1,3,1
545841,2001,14,1,8,0.5
545842,2001,14,1,2,1
545851,2001,14,1,9,0.796
545852,2001,14,1,2,1
545860,2001,14,1,10,0.876
545911,2001,14,1,4,0.504
545912,2001,14,1,11,0.284
545913,2001,14,1,12,0.256
546100,2001,14,1,1,1
546200,2001,14,1,1,1
546300,2001,14,1,1,1
546400,2001,14,1,1,1
546500,2001,14,1,1,1
546600,2001,14,1,1,1
546700,2001,14,1,1,1
546801,2001,14,1,1,1
546802,2001,14,1,1,1
546901,2001,14,1,1,1
546902,2001,14,1,1,1
547001,2001,14,1,1,1
547002,2001,14,1,1,1
547100,2001,14,1,1,1
547200,2001,14,1,1,1
547300,2001,14,1,1,1
547400,2001,14,1,1,1
547600,2001,14,1,2,1
547700,2001,14,1,2,1
547800,2001,14,1,2,1
547900,2001,14,1,2,1
548000,2001,14,1,2,1
548100,2001,14,1,2,1
548200,2001,14,1,2,1
548300,2001,14,1,2,1
548400,2001,14,1,2,1
548500,2001,14,1,2,1
548611,2001,14,1,2,1
548612,2001,14,1,2,1
548620,2001,14,1,2,1
548810,2001,14,1,2,1
548821,2001,14,1,2,1
548822,2001,14,1,2,1
548831,2001,14,1,2,1
548832,2001,14,1,2,1
548833,2001,14,1,2,1
549000,2001,14,1,13,1
549100,2001,14,1,13,1
549200,2001,14,1,13,1
549400,2001,14,1,13,1
549500,2001,14,1,13,1
549601,2001,14,1,13,1
549602,2001,14,1,13,1
549800,2001,15,1,1,1
549901,2001,15,1,2,1
549902,2001,16,0.604,1,0.896
550101,2001,15,1,1,1
550102,2001,15,1,1,1
550200,2001,15,1,1,1
550500,2001,15,1,1,1
550600,2001,17,1,1,1
550700,2001,17,1,1,1
550800,2001,17,1,2,1
550901,2001,17,1,1,0.996
550902,2001,17,1,1,0.996
551012,2001,17,1,2,1
551013,2001,17,1,1,1
551014,2001,17,1,1,0.996
551021,2001,17,1,2,1
551022,2001,17,1,2,1
551023,2001,17,1,2,1
551024,2001,17,1,2,1
551030,2001,17,1,3,1
551111,2001,17,1,1,1
551112,2001,17,1,3,1
551120,2001,17,1,3,1
551301,2001,17,1,1,1
551302,2001,17,1,1,1
551400,2001,17,1,2,1
551501,2001,17,1,2,1
551502,2001,17,1,2,1
551503,2001,17,1,2,1
551600,2001,17,1,2,1
551700,2001,17,1,2,1
551800,2001,17,1,2,1
551900,2001,17,1,2,1
552001,2001,17,1,2,1
552002,2001,17,1,2,1
